Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
Mme,NOUVEL,Marie-Claude,Maire,Seignalens,Aude,ARTHAUD Nathalie,01/02/2022,AUDE,11,76,11SEIGNALENS,11375
M.,CALY,Guy Auguste,Maire,Villanière,Aude,HIDALGO Anne,01/02/2022,AUDE,11,76,11VILLANIERE,11411
M.,RAYNAUD,Christian,Conseiller départemental,,Aude,HIDALGO Anne,01/02/2022,AUDE,11,76,11,
M.,DEDIES,Daniel,Conseiller départemental,,Aude,JADOT Yannick,01/02/2022,AUDE,11,76,11,
M.,RAUZY,Nicolas,Maire,Les Cassés,Aude,JADOT Yannick,01/02/2022,AUDE,11,76,11LESCASSES,11074
M.,MICHEAU,Pierre,Maire,Floure,Aude,MACRON Emmanuel,01/02/2022,AUDE,11,76,11FLOURE,11146
M.,PETIT,Jacques,Maire,Escouloubre,Aude,MÉLENCHON Jean-Luc,01/02/2022,AUDE,11,76,11ESCOULOUBRE,11127
M.,LÉPINE,Serge,Maire,Camplong-d'Aude,Aude,ROUSSEL Fabien,01/02/2022,AUDE,11,76,11CAMPLONGDAUDE,11064
M.,LANGLOIS,Daniel,Maire,Palairac,Aude,THOUY Hélène,01/02/2022,AUDE,11,76,11PALAIRAC,11271
M.,PLAGNES,Gilbert Joseph,Maire,Fontiers-Cabardès,Aude,DUPONT-AIGNAN Nicolas,03/02/2022,AUDE,11,76,11FONTIERSCABARDES,11150
M.,BARTHAS,Stéphane,Maire,Salsigne,Aude,HIDALGO Anne,03/02/2022,AUDE,11,76,11SALSIGNE,11372
M.,BRUNEL,Serge,Maire,Conilhac-Corbières,Aude,HIDALGO Anne,03/02/2022,AUDE,11,76,11CONILHACCORBIERES,11098
M.,CABANNE,Raymond,Maire,Ladern-sur-Lauquet,Aude,HIDALGO Anne,03/02/2022,AUDE,11,76,11LADERNSURLAUQUET,11183
M.,FRANÇOIS,Patrick,Conseiller départemental,,Aude,HIDALGO Anne,03/02/2022,AUDE,11,76,11,
M.,PLA,Sebastien,Sénateur,,Aude,HIDALGO Anne,03/02/2022,AUDE,11,76,11,
Mme,SANDRAGNÉ,Hélène,Conseillère départementale,,Aude,HIDALGO Anne,03/02/2022,AUDE,11,76,11,
M.,TAURAND,Françis,Maire,Marcorignan,Aude,HIDALGO Anne,03/02/2022,AUDE,11,76,11MARCORIGNAN,11217
M.,SAÏSSET,Jean-François,Maire,Trausse,Aude,JADOT Yannick,03/02/2022,AUDE,11,76,11TRAUSSE,11396
Mme,SIRVENT,Sandrine,Conseillère départementale,,Aude,JADOT Yannick,03/02/2022,AUDE,11,76,11,
M.,AGUILHON,Jean-Louis,Maire,Fajac-en-Val,Aude,LASSALLE Jean,03/02/2022,AUDE,11,76,11FAJACENVAL,11133
M.,CASTAN,Luc,Maire,Roquefort-des-Corbières,Aude,LASSALLE Jean,03/02/2022,AUDE,11,76,11ROQUEFORTDESCORBIERES,11322
M.,COSTE,Alain,Maire,Ribaute,Aude,LASSALLE Jean,03/02/2022,AUDE,11,76,11RIBAUTE,11311
M.,DAIGNEAUX,Sébastien,Maire,Bessède-de-Sault,Aude,LASSALLE Jean,03/02/2022,AUDE,11,76,11BESSEDEDESAULT,11038
Mme,JEANNOT,Sabine,Maire,Montgradail,Aude,LASSALLE Jean,03/02/2022,AUDE,11,76,11MONTGRADAIL,11246
M.,COMBIS,Didier,Maire,Magrie,Aude,MACRON Emmanuel,03/02/2022,AUDE,11,76,11MAGRIE,11211
Mme,HERIN,Danièle,Députée,1ère circonscription,Aude,MACRON Emmanuel,03/02/2022,AUDE,11,76,11ERECIRCONSCRIPTION,
Mme,MANAUD,Rose-Marie,Maire,Saint-Martin-Lys,Aude,MÉLENCHON Jean-Luc,03/02/2022,AUDE,11,76,11SAINTMARTINLYS,11358
M.,PELIX,Jean-Pierre,Maire,Montirat,Aude,MÉLENCHON Jean-Luc,03/02/2022,AUDE,11,76,11MONTIRAT,11248
M.,PLICHARD,Cédric,Maire,Saint-Jean-de-Paracol,Aude,MÉLENCHON Jean-Luc,03/02/2022,AUDE,11,76,11SAINTJEANDEPARACOL,11346
Mme,SOCQUET-JUGLARD,Nicole,Maire,Sougraigne,Aude,MÉLENCHON Jean-Luc,03/02/2022,AUDE,11,76,11SOUGRAIGNE,11381
M.,TRICOIRE,Didier,Maire,Coustaussa,Aude,MÉLENCHON Jean-Luc,03/02/2022,AUDE,11,76,11COUSTAUSSA,11109
M.,LEGUEVAQUES,Thierry,Maire,Saint-Michel-de-Lanès,Aude,PÉCRESSE Valérie,03/02/2022,AUDE,11,76,11SAINTMICHELDELANES,11359
M.,SOLER,Floréal,Maire,Pécharic-et-le-Py,Aude,POUTOU Philippe,03/02/2022,AUDE,11,76,11PECHARICETLEPY,11277
M.,BONNÉRY,Alain,Maire,Nébias,Aude,ROUSSEL Fabien,03/02/2022,AUDE,11,76,11NEBIAS,11263
M.,DURAND,Jean-Luc,Conseiller départemental,,Aude,TAUBIRA Christiane,03/02/2022,AUDE,11,76,11,
M.,BRUTY,Regis,Maire,Pech-Luna,Aude,ASSELINEAU François,08/02/2022,AUDE,11,76,11PECHLUNA,11278
M.,CALVET,André,Maire,Bouriège,Aude,ASSELINEAU François,08/02/2022,AUDE,11,76,11BOURIEGE,11045
M.,CHAPUT,Hervé,Maire,Rodome,Aude,ASSELINEAU François,08/02/2022,AUDE,11,76,11RODOME,11317
M.,LAMARQUE,Gérard,Maire,Saint-Paulet,Aude,ASSELINEAU François,08/02/2022,AUDE,11,76,11SAINTPAULET,11362
Mme,ARNAUD,Magali,Maire,Villar-en-Val,Aude,HIDALGO Anne,08/02/2022,AUDE,11,76,11VILLARENVAL,11414
M.,CASTY,Gilles,Maire,Ornaisons,Aude,HIDALGO Anne,08/02/2022,AUDE,11,76,11ORNAISONS,11267
Mme,CATHALA,Caroline,Conseillère départementale,,Aude,HIDALGO Anne,08/02/2022,AUDE,11,76,11,
