Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
M.,BARTOLI,Jean Jacques,Maire,Sollacaro,Corse-du-Sud,ARTHAUD Nathalie,03/02/2022,CORSEDUSUD,2A,94,2ASOLLACARO,2A284
M.,ROCCA SERRA,Jean Paul,Maire,Serra-di-Scopamène,Corse-du-Sud,JADOT Yannick,03/02/2022,CORSEDUSUD,2A,94,2ASERRADISCOPAMENE,2A278
M.,ANGELINI,Christian Jean Joseph,Maire,Arro,Corse-du-Sud,LASSALLE Jean,03/02/2022,CORSEDUSUD,2A,94,2AARRO,2A022
M.,GUGLIELMI,Guillaume,Maire,Santa-Maria-Siché,Corse-du-Sud,LASSALLE Jean,03/02/2022,CORSEDUSUD,2A,94,2ASANTAMARIASICHE,2A312
M.,MARTINI,Pierre Paul,Maire,Sampolo,Corse-du-Sud,LASSALLE Jean,03/02/2022,CORSEDUSUD,2A,94,2ASAMPOLO,2A268
M.,NEBBIA,Pierre,Maire,Lopigna,Corse-du-Sud,LASSALLE Jean,03/02/2022,CORSEDUSUD,2A,94,2ALOPIGNA,2A144
M.,POLI,Jean Toussaint,Maire,Ambiegna,Corse-du-Sud,LASSALLE Jean,03/02/2022,CORSEDUSUD,2A,94,2AAMBIEGNA,2A014
M.,LECA,Barthélémy,Maire,Serriera,Corse-du-Sud,MACRON Emmanuel,03/02/2022,CORSEDUSUD,2A,94,2ASERRIERA,2A279
M.,ORSUCCI,Jean-Charles,Maire,Bonifacio,Corse-du-Sud,MACRON Emmanuel,03/02/2022,CORSEDUSUD,2A,94,2ABONIFACIO,2A041
M.,BARTOLI,Jean-François,Maire,Soccia,Corse-du-Sud,LASSALLE Jean,08/02/2022,CORSEDUSUD,2A,94,2ASOCCIA,2A282
M.,CHIARASINI,François,Maire,Tavera,Corse-du-Sud,LASSALLE Jean,08/02/2022,CORSEDUSUD,2A,94,2ATAVERA,2A324
M.,MURACCIOLI,Jean Jacques,Maire,Ocana,Corse-du-Sud,LASSALLE Jean,08/02/2022,CORSEDUSUD,2A,94,2AOCANA,2A181
M.,RUTILY,Nicolas,Maire,Orto,Corse-du-Sud,LASSALLE Jean,08/02/2022,CORSEDUSUD,2A,94,2AORTO,2A196
M.,VERSINI,Antoine Martin,Maire,Cristinacce,Corse-du-Sud,LASSALLE Jean,08/02/2022,CORSEDUSUD,2A,94,2ACRISTINACCE,2A100
M.,CICCOLINI,Jean-Jacques,Maire,Cozzano,Corse-du-Sud,MACRON Emmanuel,08/02/2022,CORSEDUSUD,2A,94,2ACOZZANO,2A099
M.,MONDOLONI,Albert,Maire,Mela,Corse-du-Sud,PÉCRESSE Valérie,08/02/2022,CORSEDUSUD,2A,94,2AMELA,2A158
M.,TRAMONI,Michel,Maire,Bilia,Corse-du-Sud,ROUSSEL Fabien,08/02/2022,CORSEDUSUD,2A,94,2ABILIA,2A038
Mme,COLONNA-PAN,Gisèle,Maire,Osani,Corse-du-Sud,JADOT Yannick,10/02/2022,CORSEDUSUD,2A,94,2AOSANI,2A197
M.,POLI,Xavier,Maire,Rosazia,Corse-du-Sud,LASSALLE Jean,10/02/2022,CORSEDUSUD,2A,94,2AROSAZIA,2A262
M.,FAGGIANELLI,François,Maire,Appietto,Corse-du-Sud,MACRON Emmanuel,10/02/2022,CORSEDUSUD,2A,94,2AAPPIETTO,2A017
M.,MARCANGELI,Laurent,Maire,Ajaccio,Corse-du-Sud,MACRON Emmanuel,10/02/2022,CORSEDUSUD,2A,94,2AAJACCIO,2A004
M.,PINELLI,Michel,Maire,Sari-d'Orcino,Corse-du-Sud,PÉCRESSE Valérie,10/02/2022,CORSEDUSUD,2A,94,2ASARIDORCINO,2A270
M.,CHIAPPINI,Charles,Maire,Calcatoggio,Corse-du-Sud,ZEMMOUR Éric,10/02/2022,CORSEDUSUD,2A,94,2ACALCATOGGIO,2A048
M.,ROCCA,Dominique Antoine,Maire,Santa-Maria-Figaniella,Corse-du-Sud,ZEMMOUR Éric,10/02/2022,CORSEDUSUD,2A,94,2ASANTAMARIAFIGANIELLA,2A310
M.,COGGIA,François,Maire,Coggia,Corse-du-Sud,JADOT Yannick,15/02/2022,CORSEDUSUD,2A,94,2ACOGGIA,2A090
Mme,LECA,Réjane,Maire,Sant'Andréa-d'Orcino,Corse-du-Sud,LASSALLE Jean,15/02/2022,CORSEDUSUD,2A,94,2ASANTANDREADORCINO,2A295
M.,COLONNA,François,Maire,Vico,Corse-du-Sud,MACRON Emmanuel,15/02/2022,CORSEDUSUD,2A,94,2AVICO,2A348
M.,MOSCONI,François Antoine,Maire,Conca,Corse-du-Sud,MACRON Emmanuel,15/02/2022,CORSEDUSUD,2A,94,2ACONCA,2A092
M.,FERRARA,Jean-Jacques,Député,1ère circonscription,Corse-du-Sud,PÉCRESSE Valérie,15/02/2022,CORSEDUSUD,2A,94,2AERECIRCONSCRIPTION,
M.,SANTONI,Pierre,Maire,Palneca,Corse-du-Sud,PÉCRESSE Valérie,15/02/2022,CORSEDUSUD,2A,94,2APALNECA,2A200
M.,PARAVISINI,François Joseph,Maire,Cannelle,Corse-du-Sud,DUPONT-AIGNAN Nicolas,17/02/2022,CORSEDUSUD,2A,94,2ACANNELLE,2A060
M.,CECCALDI,Mathieu,Maire,Marignana,Corse-du-Sud,JADOT Yannick,22/02/2022,CORSEDUSUD,2A,94,2AMARIGNANA,2A154
M.,LUCCHINI,Jean-Jacques,Membre de l'Assemblée de Corse,,Corse-du-Sud,JADOT Yannick,22/02/2022,CORSEDUSUD,2A,94,2A,
