Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
Mme,MARTELLI,Joséphine,Maire,Pigna,Haute-Corse,JADOT Yannick,03/02/2022,HAUTECORSE,2B,94,2BPIGNA,2B231
M.,ACQUAVIVA,Mathieu,Maire,Calacuccia,Haute-Corse,LASSALLE Jean,03/02/2022,HAUTECORSE,2B,94,2BCALACUCCIA,2B047
Mme,ALBERTINI-COLONNA,Nicolette,Maire,Piedigriggio,Haute-Corse,LASSALLE Jean,03/02/2022,HAUTECORSE,2B,94,2BPIEDIGRIGGIO,2B220
M.,ANGELINI,Jean-Charles,Maire,Loreto-di-Casinca,Haute-Corse,LASSALLE Jean,03/02/2022,HAUTECORSE,2B,94,2BLORETODICASINCA,2B145
M.,COLOMBANI,Barthelemy,Maire,Costa,Haute-Corse,LASSALLE Jean,03/02/2022,HAUTECORSE,2B,94,2BCOSTA,2B097
M.,LORENZI,Pierre,Maire,Piobetta,Haute-Corse,LASSALLE Jean,03/02/2022,HAUTECORSE,2B,94,2BPIOBETTA,2B234
M.,GALLETTI,Joseph,Maire,Lucciana,Haute-Corse,MACRON Emmanuel,03/02/2022,HAUTECORSE,2B,94,2BLUCCIANA,2B148
M.,GRAZIANI,Christophe,Maire,Bigorno,Haute-Corse,MACRON Emmanuel,03/02/2022,HAUTECORSE,2B,94,2BBIGORNO,2B036
M.,CECCOLI,François-Xavier,Maire,San-Giuliano,Haute-Corse,PÉCRESSE Valérie,03/02/2022,HAUTECORSE,2B,94,2BSANGIULIANO,2B303
M.,SANTINI,Ange,Maire,Calvi,Haute-Corse,PÉCRESSE Valérie,03/02/2022,HAUTECORSE,2B,94,2BCALVI,2B050
M.,RODRIGUEZ,Jean-Marc,Maire,Poggio-di-Venaco,Haute-Corse,POUTOU Philippe,03/02/2022,HAUTECORSE,2B,94,2BPOGGIODIVENACO,2B238
M.,MEDORI,Séverin,Maire,Linguizzetta,Haute-Corse,ROUSSEL Fabien,03/02/2022,HAUTECORSE,2B,94,2BLINGUIZZETTA,2B143
M.,PALLENTI,Jean-Marie,Maire,Velone-Orneto,Haute-Corse,ROUSSEL Fabien,03/02/2022,HAUTECORSE,2B,94,2BVELONEORNETO,2B340
M.,SIMONPIETRI,Pierre-Michel,Maire,Furiani,Haute-Corse,THOUY Hélène,03/02/2022,HAUTECORSE,2B,94,2BFURIANI,2B120
Mme,ALBERTINI,Emilie,Maire,Carcheto-Brustico,Haute-Corse,ARTHAUD Nathalie,08/02/2022,HAUTECORSE,2B,94,2BCARCHETOBRUSTICO,2B063
M.,BERLINGHI,François,Maire,Pero-Casevecchie,Haute-Corse,ARTHAUD Nathalie,08/02/2022,HAUTECORSE,2B,94,2BPEROCASEVECCHIE,2B210
M.,GAMBOTTI,Alexandre,Maire,Ficaja,Haute-Corse,ARTHAUD Nathalie,08/02/2022,HAUTECORSE,2B,94,2BFICAJA,2B113
M.,SARTI,Pascal,Maire,Ortiporio,Haute-Corse,ARTHAUD Nathalie,08/02/2022,HAUTECORSE,2B,94,2BORTIPORIO,2B195
Mme,FRANCHI,Carine,Maire,San-Giovanni-di-Moriani,Haute-Corse,JADOT Yannick,08/02/2022,HAUTECORSE,2B,94,2BSANGIOVANNIDIMORIANI,2B302
M.,STEFANI,Pierre-Jean,Maire,Piedipartino,Haute-Corse,JADOT Yannick,08/02/2022,HAUTECORSE,2B,94,2BPIEDIPARTINO,2B221
M.,TOMI,Marc,Maire,Santo-Pietro-di-Tenda,Haute-Corse,JADOT Yannick,08/02/2022,HAUTECORSE,2B,94,2BSANTOPIETRODITENDA,2B314
M.,ANTOMARCHI,Vincent,Maire,Santa-Lucia-di-Moriani,Haute-Corse,LASSALLE Jean,08/02/2022,HAUTECORSE,2B,94,2BSANTALUCIADIMORIANI,2B307
M.,FILIPPI,Jean-Baptiste,Maire,Moncale,Haute-Corse,LASSALLE Jean,08/02/2022,HAUTECORSE,2B,94,2BMONCALE,2B165
M.,MAMELLI,Guy,Maire,Alando,Haute-Corse,LASSALLE Jean,08/02/2022,HAUTECORSE,2B,94,2BALANDO,2B005
M.,MATTEI,Jean-Marc,Maire,Scolca,Haute-Corse,LASSALLE Jean,08/02/2022,HAUTECORSE,2B,94,2BSCOLCA,2B274
M.,MAZOTTI,Francis,Maire,Pino,Haute-Corse,LASSALLE Jean,08/02/2022,HAUTECORSE,2B,94,2BPINO,2B233
Mme,ANTONIOTTI,Michelle,Maire,Vallica,Haute-Corse,LE PEN Marine,08/02/2022,HAUTECORSE,2B,94,2BVALLICA,2B339
M.,RENUCCI,Jean,Maire,Carticasi,Haute-Corse,MACRON Emmanuel,08/02/2022,HAUTECORSE,2B,94,2BCARTICASI,2B068
M.,CASANOVA,André,Maire,Aghione,Haute-Corse,PÉCRESSE Valérie,08/02/2022,HAUTECORSE,2B,94,2BAGHIONE,2B002
M.,CHIARELLI,Joseph,Maire,Sorio,Haute-Corse,POUTOU Philippe,08/02/2022,HAUTECORSE,2B,94,2BSORIO,2B287
M.,SIMONPIETRI,Antoine,Maire,Saliceto,Haute-Corse,POUTOU Philippe,08/02/2022,HAUTECORSE,2B,94,2BSALICETO,2B267
M.,TOMI,Christian,Maire,San-Gavino-di-Tenda,Haute-Corse,POUTOU Philippe,08/02/2022,HAUTECORSE,2B,94,2BSANGAVINODITENDA,2B301
M.,BARTOLI,Jacky,Maire,Isolaccio-di-Fiumorbo,Haute-Corse,ROUSSEL Fabien,08/02/2022,HAUTECORSE,2B,94,2BISOLACCIODIFIUMORBO,2B135
M.,FRANCISCI,Gérard,Maire,Feliceto,Haute-Corse,ZEMMOUR Éric,08/02/2022,HAUTECORSE,2B,94,2BFELICETO,2B112
M.,ORSINI,Pierre,Maire,Poggio-Marinaccio,Haute-Corse,ZEMMOUR Éric,08/02/2022,HAUTECORSE,2B,94,2BPOGGIOMARINACCIO,2B241
M.,CATANI,Charles-Jean,Maire,Tarrano,Haute-Corse,ARTHAUD Nathalie,10/02/2022,HAUTECORSE,2B,94,2BTARRANO,2B321
M.,GIUDICELLI,Etienne,Maire,San-Damiano,Haute-Corse,LASSALLE Jean,10/02/2022,HAUTECORSE,2B,94,2BSANDAMIANO,2B297
M.,GUERRIERI,Jean-Paul,Maire,Palasca,Haute-Corse,LASSALLE Jean,10/02/2022,HAUTECORSE,2B,94,2BPALASCA,2B199
M.,LESCHI,Pierre,Maire,Lano,Haute-Corse,LASSALLE Jean,10/02/2022,HAUTECORSE,2B,94,2BLANO,2B137
M.,MAESTRACCI,Jean Félix,Maire,Corscia,Haute-Corse,LASSALLE Jean,10/02/2022,HAUTECORSE,2B,94,2BCORSCIA,2B095
M.,VECCHIONI,Jean-Marie,Maire,Campile,Haute-Corse,LASSALLE Jean,10/02/2022,HAUTECORSE,2B,94,2BCAMPILE,2B054
M.,GIUGANTI,Paul,Maire,Zuani,Haute-Corse,PÉCRESSE Valérie,10/02/2022,HAUTECORSE,2B,94,2BZUANI,2B364
