Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
M.,DÉMOULIN,Nicolas,Député,8ème circonscription,Hérault,MACRON Emmanuel,03/02/2022,HERAULT,34,76,34EMECIRCONSCRIPTION,
M.,HUPPE,Philippe,Député,5ème circonscription,Hérault,MACRON Emmanuel,03/02/2022,HERAULT,34,76,34EMECIRCONSCRIPTION,
M.,BOLTZ,Jean-Claude,Maire,Saint-Geniès-de-Varensal,Hérault,ASSELINEAU François,08/02/2022,HERAULT,34,76,34SAINTGENIESDEVARENSAL,34257
M.,NEGRE,Roger,Maire,Le Soulié,Hérault,ASSELINEAU François,08/02/2022,HERAULT,34,76,34LESOULIE,34305
M.,TAILHAN,Alain,Maire,Pardailhan,Hérault,ASSELINEAU François,08/02/2022,HERAULT,34,76,34PARDAILHAN,34193
M.,GOUDOU,Samuel,Maire,Saint-Privat,Hérault,DUPONT-AIGNAN Nicolas,08/02/2022,HERAULT,34,76,34SAINTPRIVAT,34286
M.,ALMARCHA,Jean,Conseiller départemental,,Hérault,HIDALGO Anne,08/02/2022,HERAULT,34,76,34,
M.,ARROUY,Michel,Maire,Frontignan,Hérault,HIDALGO Anne,08/02/2022,HERAULT,34,76,34FRONTIGNAN,34108
M.,ASSAF,Christian,Conseiller régional,Occitanie,Hérault,HIDALGO Anne,08/02/2022,HERAULT,34,76,34OCCITANIE,
M.,BOURGI,Hussein,Sénateur,,Hérault,HIDALGO Anne,08/02/2022,HERAULT,34,76,34,
M.,DELAFOSSE,Michaël,Maire,Montpellier,Hérault,HIDALGO Anne,08/02/2022,HERAULT,34,76,34MONTPELLIER,34172
M.,FIDEL,Marc,Maire,Cébazan,Hérault,HIDALGO Anne,08/02/2022,HERAULT,34,76,34CEBAZAN,34070
M.,GUIDEZ,Serge,Conseiller départemental,,Hérault,HIDALGO Anne,08/02/2022,HERAULT,34,76,34,
Mme,HENRY,Gabrielle,Conseillère départementale,,Hérault,HIDALGO Anne,08/02/2022,HERAULT,34,76,34,
M.,LACROIX,Jean-Claude,Maire,Ceyras,Hérault,HIDALGO Anne,08/02/2022,HERAULT,34,76,34CEYRAS,34076
M.,MESQUIDA,Kléber,Conseiller départemental,,Hérault,HIDALGO Anne,08/02/2022,HERAULT,34,76,34,
M.,PENSO,Eric,Maire,Clapiers,Hérault,HIDALGO Anne,08/02/2022,HERAULT,34,76,34CLAPIERS,34077
M.,PESCE,Serge,Maire,Maraussan,Hérault,HIDALGO Anne,08/02/2022,HERAULT,34,76,34MARAUSSAN,34148
M.,RIGUET,Eric,Maire,Murles,Hérault,HIDALGO Anne,08/02/2022,HERAULT,34,76,34MURLES,34177
Mme,THOMAS,Sylvie,Conseillère régionale,Occitanie,Hérault,HIDALGO Anne,08/02/2022,HERAULT,34,76,34OCCITANIE,
Mme,VASSAS MEJRI,Claudine,Maire,Castries,Hérault,HIDALGO Anne,08/02/2022,HERAULT,34,76,34CASTRIES,34058
M.,RONEZ,Jim,Maire,Fraisse-sur-Agout,Hérault,KAZIB Anasse,08/02/2022,HERAULT,34,76,34FRAISSESURAGOUT,34107
Mme,MIQUEL,Sylvie,Maire,Saint-Jean-de-Minervois,Hérault,LASSALLE Jean,08/02/2022,HERAULT,34,76,34SAINTJEANDEMINERVOIS,34269
M.,BORT,Frederic,Conseiller régional,Occitanie,Hérault,LE PEN Marine,08/02/2022,HERAULT,34,76,34OCCITANIE,
Mme,MAUREL,Johana,Conseillère régionale,Occitanie,Hérault,LE PEN Marine,08/02/2022,HERAULT,34,76,34OCCITANIE,
Mme,TROISE,Lauriane,Conseillère régionale,Occitanie,Hérault,LE PEN Marine,08/02/2022,HERAULT,34,76,34OCCITANIE,
M.,ELIAOU,Jean-François,Député,4ème circonscription,Hérault,MACRON Emmanuel,08/02/2022,HERAULT,34,76,34EMECIRCONSCRIPTION,
M.,EUZET,Christophe,Député,7ème circonscription,Hérault,MACRON Emmanuel,08/02/2022,HERAULT,34,76,34EMECIRCONSCRIPTION,
M.,GRAND,Jean-Pierre,Sénateur,,Hérault,MACRON Emmanuel,08/02/2022,HERAULT,34,76,34,
Mme,MIRALLÈS,Patricia,Députée,1ère circonscription,Hérault,MACRON Emmanuel,08/02/2022,HERAULT,34,76,34ERECIRCONSCRIPTION,
M.,REVOL,René,Maire,Grabels,Hérault,MÉLENCHON Jean-Luc,08/02/2022,HERAULT,34,76,34GRABELS,34116
M.,LAFFORGUE,Frederic,Maire,Castelnau-le-Lez,Hérault,PÉCRESSE Valérie,08/02/2022,HERAULT,34,76,34CASTELNAULELEZ,34057
M.,ROSSIGNOL,Stéphan Marc Paul,Maire,La Grande-Motte,Hérault,PÉCRESSE Valérie,08/02/2022,HERAULT,34,76,34LAGRANDEMOTTE,34344
M.,MARSAUX,Benoît,Maire,Boisset,Hérault,THOUY Hélène,08/02/2022,HERAULT,34,76,34BOISSET,34034
M.,MATHIEU,Henri,Maire,Saint-Étienne-Estréchoux,Hérault,ASSELINEAU François,10/02/2022,HERAULT,34,76,34SAINTETIENNEESTRECHOUX,34252
M.,PRADEL,Sophie,Maire,Saint-Michel,Hérault,ASSELINEAU François,10/02/2022,HERAULT,34,76,34SAINTMICHEL,34278
M.,BADENAS,Jean-Noël,Maire,Puisserguier,Hérault,HIDALGO Anne,10/02/2022,HERAULT,34,76,34PUISSERGUIER,34225
M.,BARSSE,Francis,Maire,Bédarieux,Hérault,HIDALGO Anne,10/02/2022,HERAULT,34,76,34BEDARIEUX,34028
M.,DENAJA,Sébastien,Conseiller régional,Occitanie,Hérault,HIDALGO Anne,10/02/2022,HERAULT,34,76,34OCCITANIE,
M.,GÉLY,Jean-Louis,Conseiller départemental,,Hérault,HIDALGO Anne,10/02/2022,HERAULT,34,76,34,
M.,LOPEZ,Jérôme,Maire,Saint-Mathieu-de-Tréviers,Hérault,HIDALGO Anne,10/02/2022,HERAULT,34,76,34SAINTMATHIEUDETREVIERS,34276
M.,CRISTOL,Sebastien,Conseiller départemental,,Hérault,JADOT Yannick,10/02/2022,HERAULT,34,76,34,
Mme,MARKOVIC,Jacqueline,Conseillère départementale,,Hérault,JADOT Yannick,10/02/2022,HERAULT,34,76,34,
M.,MÉNARD,Robert,Maire,Béziers,Hérault,LE PEN Marine,10/02/2022,HERAULT,34,76,34BEZIERS,34032
Mme,PLANE,Julia,Conseillère régionale,Occitanie,Hérault,LE PEN Marine,10/02/2022,HERAULT,34,76,34OCCITANIE,
M.,DIEULEFES,Hervé,Maire,Saint-Just,Hérault,MACRON Emmanuel,10/02/2022,HERAULT,34,76,34SAINTJUST,34272
M.,JEANJEAN,Christian,Maire,Palavas-les-Flots,Hérault,PÉCRESSE Valérie,10/02/2022,HERAULT,34,76,34PALAVASLESFLOTS,34192
Mme,CAMOUS,Marie-Emmanuelle,Conseillère départementale,,Hérault,ZEMMOUR Éric,10/02/2022,HERAULT,34,76,34,
Mme,BOURREL,Marina,Maire,Brignac,Hérault,ASSELINEAU François,15/02/2022,HERAULT,34,76,34BRIGNAC,34041
M.,GUTTON,Michel,Maire,Aumes,Hérault,ASSELINEAU François,15/02/2022,HERAULT,34,76,34AUMES,34017
M.,ARCAS,Jean,Maire,Olargues,Hérault,HIDALGO Anne,15/02/2022,HERAULT,34,76,34OLARGUES,34187
Mme,BENAMMAR KOLY,Fadilha,Conseillère régionale,Occitanie,Hérault,HIDALGO Anne,15/02/2022,HERAULT,34,76,34OCCITANIE,
Mme,BOUIDA,Manar,Conseillère départementale,,Hérault,HIDALGO Anne,15/02/2022,HERAULT,34,76,34,
M.,CABROL,Josian,Président d'un EPCI à fiscalité propre,CC du Minervois au Caroux,Hérault,HIDALGO Anne,15/02/2022,HERAULT,34,76,34CCDUMINERVOISAUCAROUX,
M.,CALVAT,Renaud,Maire,Jacou,Hérault,HIDALGO Anne,15/02/2022,HERAULT,34,76,34JACOU,34120
Mme,CHELVI-SANDIN,Zita,Conseillère départementale,,Hérault,HIDALGO Anne,15/02/2022,HERAULT,34,76,34,
M.,DOUTREMEPUICH,Philippe,Maire,Causse-de-la-Selle,Hérault,HIDALGO Anne,15/02/2022,HERAULT,34,76,34CAUSSEDELASELLE,34060
Mme,FERNANDO,Béatrice,Maire,Plaissan,Hérault,HIDALGO Anne,15/02/2022,HERAULT,34,76,34PLAISSAN,34204
M.,ISURE,Jean-Marc,Maire,Campagnan,Hérault,HIDALGO Anne,15/02/2022,HERAULT,34,76,34CAMPAGNAN,34047
Mme,LÉVÊQUE,Gaëlle,Maire,Lodève,Hérault,HIDALGO Anne,15/02/2022,HERAULT,34,76,34LODEVE,34142
Mme,MATHERON,Françoise,Maire,Saint-Bauzille-de-Montmel,Hérault,HIDALGO Anne,15/02/2022,HERAULT,34,76,34SAINTBAUZILLEDEMONTMEL,34242
M.,MORENO,René,Conseiller régional,Occitanie,Hérault,HIDALGO Anne,15/02/2022,HERAULT,34,76,34OCCITANIE,
Mme,PONS,Marie-Pierre,Maire,Cessenon-sur-Orb,Hérault,HIDALGO Anne,15/02/2022,HERAULT,34,76,34CESSENONSURORB,34074
Mme,PRADELLE,Sylvie,Conseillère départementale,,Hérault,HIDALGO Anne,15/02/2022,HERAULT,34,76,34,
M.,RIGAUD,Jacques,Conseiller départemental,,Hérault,HIDALGO Anne,15/02/2022,HERAULT,34,76,34,
M.,SOTO,Jean-François,Conseiller départemental,,Hérault,HIDALGO Anne,15/02/2022,HERAULT,34,76,34,
Mme,BOURGUET,Zina,Conseillère régionale,Occitanie,Hérault,JADOT Yannick,15/02/2022,HERAULT,34,76,34OCCITANIE,
M.,EL MOUDDEN,Rachid,Conseiller départemental,,Hérault,JADOT Yannick,15/02/2022,HERAULT,34,76,34,
M.,MORGO,Christophe,Conseiller départemental,,Hérault,LASSALLE Jean,15/02/2022,HERAULT,34,76,34,
M.,BRESSON,Didier,Maire,Cers,Hérault,LE PEN Marine,15/02/2022,HERAULT,34,76,34CERS,34073
M.,DELAPIERRE,Cédric,Conseiller régional,Occitanie,Hérault,LE PEN Marine,15/02/2022,HERAULT,34,76,34OCCITANIE,
M.,LAMOTTE,Quentin,Conseiller régional,Occitanie,Hérault,LE PEN Marine,15/02/2022,HERAULT,34,76,34OCCITANIE,
M.,MARSALA,Denis,Conseiller départemental,,Hérault,LE PEN Marine,15/02/2022,HERAULT,34,76,34,
Mme,ZENON,Nicole,Conseillère départementale,,Hérault,LE PEN Marine,15/02/2022,HERAULT,34,76,34,
