Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat,Date de publication,dep_norm,dep_insee,reg_insee,norm,insee
M.,MAGNER,Jacques-Bernard,Sénateur,,Puy-de-Dôme,HIDALGO Anne,01/02/2022,PUYDEDOME,63,84,63,
M.,VOLDOIRE,André,Maire,Valcivières,Puy-de-Dôme,LASSALLE Jean,01/02/2022,PUYDEDOME,63,84,63VALCIVIERES,63441
M.,DURIN,Sylvain,Maire,Servant,Puy-de-Dôme,PÉCRESSE Valérie,01/02/2022,PUYDEDOME,63,84,63SERVANT,63419
M.,DUBOURGNOUX,Eric,Maire,Saint-Gervais-sous-Meymont,Puy-de-Dôme,ROUSSEL Fabien,01/02/2022,PUYDEDOME,63,84,63SAINTGERVAISSOUSMEYMONT,63355
Mme,SAUX,Marie-Pierre,Maire,Les Pradeaux,Puy-de-Dôme,ARTHAUD Nathalie,03/02/2022,PUYDEDOME,63,84,63LESPRADEAUX,63287
M.,BIANCHI,Olivier,Maire,Clermont-Ferrand,Puy-de-Dôme,HIDALGO Anne,03/02/2022,PUYDEDOME,63,84,63CLERMONTFERRAND,63113
M.,DE ABREU,Jérôme,Maire,Ménétrol,Puy-de-Dôme,HIDALGO Anne,03/02/2022,PUYDEDOME,63,84,63MENETROL,63224
M.,PIGOT,Pascal,Maire,Les Martres-de-Veyre,Puy-de-Dôme,HIDALGO Anne,03/02/2022,PUYDEDOME,63,84,63LESMARTRESDEVEYRE,63214
M.,BESSON,Jean-Louis,Maire,Gignat,Puy-de-Dôme,JADOT Yannick,03/02/2022,PUYDEDOME,63,84,63GIGNAT,63166
M.,VERRIÈRE,Grégoire,Conseiller régional,Auvergne-Rhône-Alpes,Puy-de-Dôme,JADOT Yannick,03/02/2022,PUYDEDOME,63,84,63AUVERGNERHONEALPES,
M.,KINDT,Patrick,Maire,Chidrac,Puy-de-Dôme,KUZMANOVIC Georges,03/02/2022,PUYDEDOME,63,84,63CHIDRAC,63109
M.,LE CHAPELAIN,Jean-Luc,Maire,Villossanges,Puy-de-Dôme,LASSALLE Jean,03/02/2022,PUYDEDOME,63,84,63VILLOSSANGES,63460
M.,BERNARD,Tony,Maire,Châteldon,Puy-de-Dôme,MÉLENCHON Jean-Luc,03/02/2022,PUYDEDOME,63,84,63CHATELDON,63102
Mme,BRUNETTI,Graziella,Maire,Saint-Germain-Lembron,Puy-de-Dôme,MÉLENCHON Jean-Luc,03/02/2022,PUYDEDOME,63,84,63SAINTGERMAINLEMBRON,63352
M.,LELIEVRE,Sylvain,Maire,Saint-Hilaire-la-Croix,Puy-de-Dôme,MÉLENCHON Jean-Luc,03/02/2022,PUYDEDOME,63,84,63SAINTHILAIRELACROIX,63358
M.,LESCURE,Bernard,Maire,Marcillat,Puy-de-Dôme,MÉLENCHON Jean-Luc,03/02/2022,PUYDEDOME,63,84,63MARCILLAT,63208
M.,LOPEZ,Georges,Maire,Ris,Puy-de-Dôme,MÉLENCHON Jean-Luc,03/02/2022,PUYDEDOME,63,84,63RIS,63301
M.,MOREL,Matéo,Maire,Limons,Puy-de-Dôme,MÉLENCHON Jean-Luc,03/02/2022,PUYDEDOME,63,84,63LIMONS,63196
M.,BERT,Richard,Maire,Blanzat,Puy-de-Dôme,ROUSSEL Fabien,03/02/2022,PUYDEDOME,63,84,63BLANZAT,63042
M.,CHARLAT,Jean-Michel,Maire,Billom,Puy-de-Dôme,ROUSSEL Fabien,03/02/2022,PUYDEDOME,63,84,63BILLOM,63040
M.,DUBIEN,Roger,Maire,Le Brugeron,Puy-de-Dôme,ROUSSEL Fabien,03/02/2022,PUYDEDOME,63,84,63LEBRUGERON,63057
Mme,HUGUET,Josiane,Maire,Bort-l'Étang,Puy-de-Dôme,ROUSSEL Fabien,03/02/2022,PUYDEDOME,63,84,63BORTLETANG,63045
M.,TINET,Georges,Maire,Auzat-la-Combelle,Puy-de-Dôme,ROUSSEL Fabien,03/02/2022,PUYDEDOME,63,84,63AUZATLACOMBELLE,63022
M.,MANILLERE,Bernard,Maire,Saint-Sylvestre-Pragoulin,Puy-de-Dôme,THOUY Hélène,03/02/2022,PUYDEDOME,63,84,63SAINTSYLVESTREPRAGOULIN,63400
M.,BALDY,Damien,Conseiller départemental,,Puy-de-Dôme,HIDALGO Anne,08/02/2022,PUYDEDOME,63,84,63,
M.,DÉAT,Alain,Maire,Entraigues,Puy-de-Dôme,HIDALGO Anne,08/02/2022,PUYDEDOME,63,84,63ENTRAIGUES,63149
M.,LYAN,Pierre,Maire,Thuret,Puy-de-Dôme,HIDALGO Anne,08/02/2022,PUYDEDOME,63,84,63THURET,63432
M.,MANUBY,Didier,Maire,Les Ancizes-Comps,Puy-de-Dôme,HIDALGO Anne,08/02/2022,PUYDEDOME,63,84,63LESANCIZESCOMPS,63004
Mme,PIRES BEAUNE,Christine,Députée,2ème circonscription,Puy-de-Dôme,HIDALGO Anne,08/02/2022,PUYDEDOME,63,84,63EMECIRCONSCRIPTION,
M.,POURCHON,Alexandre,Conseiller départemental,,Puy-de-Dôme,HIDALGO Anne,08/02/2022,PUYDEDOME,63,84,63,
M.,RAGE,François,Maire,Cournon-d'Auvergne,Puy-de-Dôme,HIDALGO Anne,08/02/2022,PUYDEDOME,63,84,63COURNONDAUVERGNE,63124
M.,RAYNAUD,Patrick,Conseiller départemental,,Puy-de-Dôme,HIDALGO Anne,08/02/2022,PUYDEDOME,63,84,63,
M.,LIVET,Bertrand,Maire,Usson,Puy-de-Dôme,JADOT Yannick,08/02/2022,PUYDEDOME,63,84,63USSON,63439
Mme,PARRET,Fatima,Conseillère régionale,Auvergne-Rhône-Alpes,Puy-de-Dôme,JADOT Yannick,08/02/2022,PUYDEDOME,63,84,63AUVERGNERHONEALPES,
M.,TIXERONT,Gérard,Maire,Saint-Jacques-d'Ambur,Puy-de-Dôme,LASSALLE Jean,08/02/2022,PUYDEDOME,63,84,63SAINTJACQUESDAMBUR,63363
M.,LEGENDRE,Denis,Maire,Moriat,Puy-de-Dôme,MACRON Emmanuel,08/02/2022,PUYDEDOME,63,84,63MORIAT,63242
M.,BARRAUD,Bertrand,Maire,Issoire,Puy-de-Dôme,PÉCRESSE Valérie,08/02/2022,PUYDEDOME,63,84,63ISSOIRE,63178
M.,GALPIER,Sébastien,Conseiller départemental,,Puy-de-Dôme,PÉCRESSE Valérie,08/02/2022,PUYDEDOME,63,84,63,
M.,GISCARD D'ESTAING,Louis,Maire,Chamalières,Puy-de-Dôme,PÉCRESSE Valérie,08/02/2022,PUYDEDOME,63,84,63CHAMALIERES,63075
M.,MUSELIER,Jean-Pierre,Maire,Saint-Myon,Puy-de-Dôme,PÉCRESSE Valérie,08/02/2022,PUYDEDOME,63,84,63SAINTMYON,63379
M.,BOUCHET,Boris,Conseiller régional,Auvergne-Rhône-Alpes,Puy-de-Dôme,ROUSSEL Fabien,08/02/2022,PUYDEDOME,63,84,63AUVERGNERHONEALPES,
Mme,DUBIEN,Ghislaine,Maire,La Renaudie,Puy-de-Dôme,ROUSSEL Fabien,08/02/2022,PUYDEDOME,63,84,63LARENAUDIE,63298
M.,GRAND,Jacky,Conseiller départemental,,Puy-de-Dôme,ROUSSEL Fabien,08/02/2022,PUYDEDOME,63,84,63,
M.,JOUBERT,Serge,Maire,Saint-Amant-Roche-Savine,Puy-de-Dôme,ROUSSEL Fabien,08/02/2022,PUYDEDOME,63,84,63SAINTAMANTROCHESAVINE,63314
M.,VEYSSIERE,Rémi,Conseiller départemental,,Puy-de-Dôme,ROUSSEL Fabien,08/02/2022,PUYDEDOME,63,84,63,
M.,JAFFEUX,Sébastien,Maire,Courgoul,Puy-de-Dôme,TAUBIRA Christiane,08/02/2022,PUYDEDOME,63,84,63COURGOUL,63122
M.,THALAUD,François,Maire,Esteil,Puy-de-Dôme,ZEMMOUR Éric,08/02/2022,PUYDEDOME,63,84,63ESTEIL,63156
M.,COURTADON,Gérald,Conseiller départemental,,Puy-de-Dôme,JADOT Yannick,10/02/2022,PUYDEDOME,63,84,63,
M.,CORREIA,Emmanuel,Maire,Anzat-le-Luguet,Puy-de-Dôme,MACRON Emmanuel,10/02/2022,PUYDEDOME,63,84,63ANZATLELUGUET,63006
M.,FANGET,Michel,Conseiller régional,Auvergne-Rhône-Alpes,Puy-de-Dôme,MACRON Emmanuel,10/02/2022,PUYDEDOME,63,84,63AUVERGNERHONEALPES,
Mme,LABARY,Suzanne,Maire,Grandrif,Puy-de-Dôme,MACRON Emmanuel,10/02/2022,PUYDEDOME,63,84,63GRANDRIF,63173
Mme,THOMAS,Valérie,Députée,1ère circonscription,Puy-de-Dôme,MACRON Emmanuel,10/02/2022,PUYDEDOME,63,84,63ERECIRCONSCRIPTION,
M.,BANCAREL,Michel,Maire,Espinasse,Puy-de-Dôme,MÉLENCHON Jean-Luc,10/02/2022,PUYDEDOME,63,84,63ESPINASSE,63152
Mme,RAINEAU,Clémentine,Conseillère départementale,,Puy-de-Dôme,MÉLENCHON Jean-Luc,10/02/2022,PUYDEDOME,63,84,63,
Mme,MALTRAIT,Anne-Marie,Conseillère départementale,,Puy-de-Dôme,PÉCRESSE Valérie,10/02/2022,PUYDEDOME,63,84,63,
Mme,MARCHIS,Marie-Anne,Conseillère départementale,,Puy-de-Dôme,PÉCRESSE Valérie,10/02/2022,PUYDEDOME,63,84,63,
Mme,PRUNIER,Valérie,Conseillère départementale,,Puy-de-Dôme,PÉCRESSE Valérie,10/02/2022,PUYDEDOME,63,84,63,
M.,SAUVADE,Michel,Maire,Marsac-en-Livradois,Puy-de-Dôme,PÉCRESSE Valérie,10/02/2022,PUYDEDOME,63,84,63MARSACENLIVRADOIS,63211
M.,CHASSAIGNE,André,Député,5ème circonscription,Puy-de-Dôme,ROUSSEL Fabien,10/02/2022,PUYDEDOME,63,84,63EMECIRCONSCRIPTION,
