COM,NCCENR,TYPE
01053,BOURG-EN-BRESSE,P
02408,LAON,P
03190,MOULINS,P
04070,DIGNE-LES-BAINS,P
05061,GAP,P
06088,NICE,P
07186,PRIVAS,P
08105,CHARLEVILLE-MÉZIÈRES,P
09122,FOIX,P
10387,TROYES,P
11069,CARCASSONNE,P
12202,RODEZ,P
13055,MARSEILLE,P
14118,CAEN,P
15014,AURILLAC,P
16015,ANGOULÊME,P
17300,ROCHELLE,P
18033,BOURGES,P
19272,TULLE,P
21231,DIJON,P
22278,SAINT-BRIEUC,P
23096,GUÉRET,P
24322,PÉRIGUEUX,P
25056,BESANÇON,P
26362,VALENCE,P
27229,ÉVREUX,P
28085,CHARTRES,P
29232,QUIMPER,P
2A004,AJACCIO,P
2B033,BASTIA,P
30189,NÎMES,P
31555,TOULOUSE,P
32013,AUCH,P
33063,BORDEAUX,P
34172,MONTPELLIER,P
35238,RENNES,P
36044,CHÂTEAUROUX,P
37261,TOURS,P
38185,GRENOBLE,P
39300,LONS-LE-SAUNIER,P
40192,MONT-DE-MARSAN,P
41018,BLOIS,P
42218,SAINT-ÉTIENNE,P
43157,PUY-EN-VELAY,P
44109,NANTES,P
45234,ORLÉANS,P
46042,CAHORS,P
47001,AGEN,P
48095,MENDE,P
49007,ANGERS,P
50502,SAINT-LÔ,P
51108,CHÂLONS-EN-CHAMPAGNE,P
52121,CHAUMONT,P
53130,LAVAL,P
54395,NANCY,P
55029,BAR-LE-DUC,P
56260,VANNES,P
57463,METZ,P
58194,NEVERS,P
59350,LILLE,P
60057,BEAUVAIS,P
61001,ALENÇON,P
62041,ARRAS,P
63113,CLERMONT-FERRAND,P
64445,PAU,P
65440,TARBES,P
66136,PERPIGNAN,P
67482,STRASBOURG,P
68066,COLMAR,P
69123,LYON,P
70550,VESOUL,P
71270,MÂCON,P
72181,MANS,P
73065,CHAMBÉRY,P
74010,ANNECY,P
75056,PARIS,P
76540,ROUEN,P
77288,MELUN,P
78646,VERSAILLES,P
79191,NIORT,P
80021,AMIENS,P
81004,ALBI,P
82121,MONTAUBAN,P
83137,TOULON,P
84007,AVIGNON,P
85191,ROCHE-SUR-YON,P
86194,POITIERS,P
87085,LIMOGES,P
88160,ÉPINAL,P
89024,AUXERRE,P
90010,BELFORT,P
91228,ÉVRY,P
92050,NANTERRE,P
93008,BOBIGNY,P
94028,CRÉTEIL,P
95500,PONTOISE,P
97105,BASSE-TERRE,P
97209,FORT-DE-FRANCE,P
97302,CAYENNE,P
97411,SAINT-DENIS,P
97608,DZAOUDZI,P
01034,Belley,S
01173,Gex,S
01269,Nantua,S
02168,Château-Thierry,S
02691,Saint-Quentin,S
02722,Soissons,S
02789,Vervins,S
03185,Montluçon,S
03310,Vichy,S
04019,Barcelonnette,S
04039,Castellane,S
04088,Forcalquier,S
05023,Briançon,S
06069,Grasse,S
07132,Largentière,S
07324,Tournon-sur-Rhône,S
08362,Rethel,S
08409,Sedan,S
08490,Vouziers,S
09225,Pamiers,S
09261,Saint-Girons,S
10033,Bar-sur-Aube,S
10268,Nogent-sur-Seine,S
11206,Limoux,S
11262,Narbonne,S
12145,Millau,S
12300,Villefranche-de-Rouergue,S
13001,Aix-en-Provence,S
13004,Arles,S
13047,Istres,S
14047,Bayeux,S
14366,Lisieux,S
14762,Vire Normandie,S
15120,Mauriac,S
15187,Saint-Flour,S
16102,Cognac,S
16106,Confolens,S
17197,Jonzac,S
17299,Rochefort,S
17415,Saintes,S
17347,Saint-Jean-d'Angély,S
18197,Saint-Amand-Montrond,S
18279,Vierzon,S
19031,Brive-la-Gaillarde,S
19275,Ussel,S
2A272,Sartène,S
2B050,Calvi,S
2B096,Corte,S
21054,Beaune,S
21425,Montbard,S
22050,Dinan,S
22070,Guingamp,S
22113,Lannion,S
23008,Aubusson,S
24037,Bergerac,S
24311,Nontron,S
24520,Sarlat-la-Canéda,S
25388,Montbéliard,S
25462,Pontarlier,S
26113,Die,S
26220,Nyons,S
27056,Bernay,S
27016,Les Andelys,S
28088,Châteaudun,S
28134,Dreux,S
28280,Nogent-le-Rotrou,S
29019,Brest,S
29026,Châteaulin,S
29151,Morlaix,S
30007,Alès,S
30350,Le Vigan,S
31395,Muret,S
31483,Saint-Gaudens,S
32107,Condom,S
32256,Mirande,S
33009,Arcachon,S
33058,Blaye,S
33227,Langon,S
33240,Lesparre-Médoc,S
33243,Libourne,S
34032,Béziers,S
34142,Lodève,S
35115,Fougères,S
35236,Redon,S
35288,Saint-Malo,S
36088,Issoudun,S
36046,La Châtre,S
36018,Le Blanc,S
37072,Chinon,S
37132,Loches,S
38509,La Tour-du-Pin,S
38544,Vienne,S
39198,Dole,S
39478,Saint-Claude,S
40088,Dax,S
41194,Romorantin-Lanthenay,S
41269,Vendôme,S
42147,Montbrison,S
42187,Roanne,S
43040,Brioude,S
43268,Yssingeaux,S
44036,Châteaubriant,S
44184,Saint-Nazaire,S
45208,Montargis,S
45252,Pithiviers,S
46102,Figeac,S
46127,Gourdon,S
47157,Marmande,S
47195,Nérac,S
47323,Villeneuve-sur-Lot,S
48061,Florac Trois Rivières,S
49099,Cholet,S
49328,Saumur,S
49331,Segré-en-Anjou Bleu,S
50025,Avranches,S
50129,Cherbourg-en-Cotentin,S
50147,Coutances,S
51230,Épernay,S
51454,Reims,S
51649,Vitry-le-François,S
